127.0.0.1 - - [11/Mar/2024:14:35:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:07 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:07 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:11 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 3107286
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:19 +0530] "GET /ProductManagementApp/EditProductServlet?proId=123 HTTP/1.1" 200 6215407
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:33 +0530] "POST /ProductManagementApp/UpdateProductServlet HTTP/1.1" 200 2205371
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:48:33 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2205286
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:48:36 +0530] "GET /ProductManagementApp/EditProductServlet?proId=123 HTTP/1.1" 200 4411407
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:32 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:33 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:33 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:34 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:34 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:34 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:34 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:35 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:43:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:44:16 +0530] "GET /ProductManagementApp/ HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:44:16 +0530] "GET /ProductManagementApp/%22C:UsersKotakOneDrive%C3%9Esktopproject%C2%AE.jpg%22 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:48:55 +0530] "GET /ProductManagementApp/ HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:49:11 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2205286
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:49:44 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2205625
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:49:56 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2205286
